nodes,
N00-N01,2.69230624260433
N00-N10,2.69230624260433
N01-N02,1.5384607100596162
N01-N11,1.153845532544711
N02-N03,0.7692303550298085
N02-N12,0.7692303550298076
N03-N13,0.7692303550298085
N10-N11,1.153845532544711
N10-N20,1.5384607100596162
N11-N12,1.1538455325447128
N11-N21,1.1538455325447128
N12-N13,0.7692303550298094
N12-N22,1.1538455325447137
N13-N23,1.5384607100596188
N20-N21,0.7692303550298076
N20-N30,0.7692303550298085
N21-N22,1.1538455325447137
N21-N31,0.7692303550298094
N22-N23,1.1538455325447146
N22-N32,1.1538455325447146
N23-N33,2.692306242604333
N30-N31,0.7692303550298085
N31-N32,1.5384607100596188
N32-N33,2.692306242604333
