nodes,H10
N00-N01,2.387586297912909
N00-N10,3.2425557405454555
N01-N02,1.532614727354285
N01-N11,0.8549715705586216
N02-N03,0.7948063451302918
N02-N12,0.7378083822239923
N03-N13,0.7948063451302918
N10-N11,2.127926075345954e-06
N10-N20,1.114629666511707
N11-N12,1.4154515390196556
N11-N21,1.5674461065987755
N12-N13,0.8518043080365914
N12-N22,1.30145561320706
N13-N23,1.6466106531668832
N20-N21,0.4528185680131438
N20-N30,0.6618110984985623
N21-N22,1.1494610456279402
N21-N31,0.8708036289839809
N22-N23,1.1969593479964145
N22-N32,1.2539573108385849
N23-N33,2.8435700011632994
N30-N31,0.6618110984985623
N31-N32,1.5326147274825441
N32-N33,2.786572038321129
