nodes,V21
N00-N01,2.7516969614836784
N00-N10,2.7393436859416402
N01-N02,1.5441622054335378
N01-N11,1.2075347560501388
N02-N03,0.7659044649754687
N02-N12,0.7782577404580708
N03-N13,0.7659044649754687
N10-N11,1.219888031592177
N10-N20,1.5194556543494633
N11-N12,1.1148851898414698
N11-N21,1.3125375978008487
N12-N13,0.7535511894928666
N12-N22,1.1395917408066745
N13-N23,1.5194556544683353
N20-N21,1.0129699750435623
N20-N30,0.5064856793059018
N21-N22,0.9419393328472956
N21-N31,1.3835682404206295e-06
N22-N23,1.1334151031545274
N22-N32,0.9481159704994444
N23-N33,2.652870757622863
N30-N31,0.5064856793059009
N31-N32,1.8900539197784996
N32-N33,2.838169890277946
