nodes,V01
N00+N01,3.24255574074873
N00+N10,2.3875862980197313
N01+N02,1.1146296664749231
N01+N11,2.1279260744577755e-06
N02+N03,0.6618110984776191
N02+N12,0.4528185679973058
N03+N13,0.66181109847762
N10+N11,0.8549715706550733
N10+N20,1.532614727364657
N11+N12,1.5674461065461545
N11+N21,1.4154515389498883
N12+N13,0.8708036289579333
N12+N22,1.149461045585527
N13+N23,1.5326147274355533
N20+N21,0.7378083822403045
N20+N30,0.7948063451243526
N21+N22,1.3014556131817931
N21+N31,0.8518043080084006
N22+N23,1.2539573108079596
N22+N32,1.19695934795936
N23+N33,2.786572038243515
N30+N31,0.7948063451243526
N31+N32,1.6466106531327527
N32+N33,2.8435700010921146
