node1,node2,voltage difference,broken V11,broken H11,letters
N00,N01,2.69230624260433,2.8996016646445266,2.7410815829754434,AB
N01,N02,1.5384607100596162,1.4729187140091797,1.1558785513962428,BC
N02,N03,0.7692303550298085,0.7265518519136878,0.7265518519299325,CD
N03,N13,0.7692303550298085,0.7265518519136887,0.7265518519299317,DE
N13,N23,1.5384607100596188,1.4332886936455744,1.7503288563234851,EF
N23,N33,2.692306242604333,2.741081583190095,2.8996016647617164,FG
N32,N33,2.692306242604333,2.8996016644272906,2.7410815834815234,GH
N31,N32,1.5384607100596188,1.7503288561199621,1.4332886937631013,HI
N30,N31,0.7692303550298085,0.7265518519136878,0.7265518519299325,IJ
N20,N30,0.7692303550298085,0.7265518519136887,0.7265518519299317,JK
N10,N20,1.5384607100596162,1.1558785515347916,1.472918713956627,KL
N10,N00,-2.69230624260433,-2.7410815834073317,-2.899601664255636,AL
