0,1,2,3,4,5,6,7,8,9,10,11,X,Y
10.0,3.792559708067694,3.341253462353228,3.0047531914257757,6.286620539647638,2.6682529204983227,4.615995665160756,1.7735580825029775,3.891530375987534,3.1670650868143118,1.9398288046083072,3.7133794603523644e-06,1.0,1.5
10.0,6.2866205396476404,4.615995665160758,3.891530375987536,3.7925597080676976,3.167065086814314,3.3412534623532313,1.9398288046083088,3.0047531914257783,2.6682529204983254,1.7735580825029795,3.7133794603523677e-06,1.5,1.0
10.0,8.02752387315838,3.917434083274443,3.642204856273287,7.22018480728832,3.366975629272131,5.605506675548204,2.2660587212675063,4.816516224811556,4.027525774074908,2.486242102868432,4.7522913195532995e-06,1.0,2.5
10.0,7.959490911857218,5.918981823714436,5.022508161828177,6.94673823943341,4.126034499941918,5.401352680031158,2.580648940539663,4.662418322744157,3.9234839654571565,2.513132095711409,5.093770848709374e-06,1.5,2.0
10.0,7.480621463553194,6.240312030225535,3.759693163570218,7.325582784387236,3.759693163570218,5.775195992727664,2.5193837302425592,5.000002596897877,4.22480920106809,2.6744224094085167,5.193795752059572e-06,1.0,3.5
10.0,7.490333877852511,6.392113263538356,5.293892649224201,7.258315438208676,4.195672034910046,5.696057944606851,2.6334145413082193,4.922663145794066,4.14926834698128,2.6179466453319646,5.251350683938816e-06,1.5,3.0
10.0,7.480621463553195,6.240312030225535,6.240312030225535,7.325582784387236,3.7596931635702178,5.775195992727663,2.5193837302425592,5.000002596897876,4.22480920106809,2.6744224094085163,5.193795752059572e-06,1.5,4.0
10.0,6.946738239433412,5.401352680031158,4.662418322744157,7.959490911857219,3.9234839654571574,5.918981823714438,2.51313209571141,5.022508161828179,4.12603449994192,2.580648940539664,5.093770848709376e-06,2.0,1.5
10.0,7.2201848072883195,5.605506675548202,4.816516224811554,8.02752387315838,4.027525774074906,3.917434083274443,2.486242102868431,3.6422048562732865,3.3669756292721305,2.266058721267506,4.752291319553299e-06,2.5,1.0
10.0,7.360516369521683,5.4077276672978885,4.5922774399956445,7.532190101585314,3.7768272126934,5.9227488634887795,2.467815005708218,5.107298636186535,4.291848408884291,2.639488737771848,5.107293528893009e-06,2.0,2.5
10.0,7.5321901015853125,5.922748863488779,5.107298636186535,7.360516369521681,4.29184840888429,5.407727667297886,2.6394887377718472,4.592277439995642,3.7768272126933984,2.467815005708216,5.107293528893005e-06,2.5,2.0
10.0,7.366590710042466,5.80433321644064,4.706112602126485,7.382058606018722,3.6078919878123292,5.850736904369408,2.5096713734981737,5.077342105556623,4.303947306743837,2.7416898131420098,5.251350683938815e-06,2.0,3.5
10.0,7.532190101585312,6.22317789460013,5.407727667297886,7.360516369521682,4.592277439995641,5.7081566984092404,2.639488737771847,4.8927064711069965,4.077256243804753,2.467815005708217,5.107293528893006e-06,2.5,3.0
10.0,7.733946031023811,6.633029123019185,6.357799896018028,7.513762649422887,6.082570669016872,5.972478978216412,1.9724808791329398,5.1834885274797635,4.394498076743115,2.7798199450029983,4.752291319553299e-06,2.5,4.0
10.0,7.258315438208675,5.69605794460685,4.922663145794065,7.490333877852511,4.149268346981279,6.392113263538355,2.6179466453319638,5.293892649224199,4.195672034910045,2.633414541308219,5.251350683938815e-06,3.0,1.5
10.0,7.325582784387235,5.775195992727662,5.000002596897875,7.480621463553194,4.22480920106809,6.240312030225535,2.6744224094085167,3.759693163570218,3.759693163570218,2.5193837302425592,5.193795752059572e-06,3.5,1.0
10.0,7.360516369521684,5.708156698409242,4.892706471106997,7.532190101585313,4.077256243804753,6.223177894600132,2.4678150057082178,5.407727667297888,4.592277439995643,2.6394887377718472,5.107293528893007e-06,3.0,2.5
10.0,7.38205860601872,5.850736904369406,5.07734210555662,7.366590710042464,4.303947306743834,5.804333216440638,2.741689813142008,4.706112602126483,3.607891987812328,2.509671373498173,5.251350683938813e-06,3.5,2.0
10.0,7.419356153231188,5.873970593828936,4.977496931942676,7.486872998059442,4.081023270056416,6.076521128313697,2.040514181913633,5.337586771026697,4.598652413739697,3.053266854337442,5.093770848709378e-06,3.0,3.5
10.0,7.48687299805944,6.076521128313694,5.337586771026694,7.4193561532311865,4.598652413739694,5.8739705938289335,3.0532668543374393,4.9774969319426745,4.081023270056415,2.040514181913632,5.093770848709374e-06,3.5,3.0
10.0,8.226445630876484,7.331750792881138,6.995250521953684,8.060174908771153,6.65875025102623,6.832938626565149,6.207444005311765,6.108473337391927,5.384008048218705,3.7133831737318217,3.7133794603523614e-06,3.5,4.0
10.0,7.325582784387235,5.775195992727662,5.000002596897875,7.480621463553194,4.22480920106809,6.240312030225535,2.6744224094085167,6.240312030225535,3.759693163570218,2.5193837302425592,5.193795752059572e-06,4.0,1.5
10.0,7.513762649422885,5.972478978216411,5.183488527479762,7.73394603102381,4.394498076743114,6.633029123019183,2.7798199450029974,6.357799896018026,6.08257066901687,1.9724808791329393,4.752291319553298e-06,4.0,2.5
10.0,8.060174908771156,6.832938626565152,6.108473337391931,8.226445630876487,5.38400804821871,7.331750792881143,3.713383173731825,6.99525052195369,6.658750251026237,6.207444005311771,3.7133794603523648e-06,4.0,3.5
10.0,7.30769375739567,5.769233047336054,5.000002692306245,7.30769375739567,4.230772337276436,5.769233047336054,2.692311627216818,5.000002692306245,4.230772337276436,2.692311627216818,5.384612485208666e-06,0.0,0.0
